Regional Cliente;Microregião Cliente;Município Cliente
Centro;Curvelo;Abaeté
Centro;Sete Lagoas;Araçaí
Centro;Curvelo;Augusto de Lima
Centro;Sete Lagoas;Baldim
Centro;Grande Belo Horizonte;Belo Horizonte
Centro;Alto Paraopeba e Inconfidentes;Belo Vale
Centro;Das Indústrias;Betim
Centro;Grande Belo Horizonte;Brumadinho
Centro;Sete Lagoas;Cachoeira da Prata
Centro;Sete Lagoas;Caetanópolis
Centro;Grande Belo Horizonte;Caeté
Centro;Sete Lagoas;Capim Branco
Centro;Alto Paraopeba e Inconfidentes;Casa Grande
Centro;Alto Paraopeba e Inconfidentes;Catas Altas da Noruega
Centro;Curvelo;Cedro do Abaeté
Centro;Sete Lagoas;Conceição do Mato Dentro
Centro;Grande Belo Horizonte;Confins
Centro;Alto Paraopeba e Inconfidentes;Congonhas
Centro;Sete Lagoas;Congonhas do Norte
Centro;Alto Paraopeba e Inconfidentes;Conselheiro Lafaiete
Centro;Das Indústrias;Contagem
Centro;Sete Lagoas;Cordisburgo
Centro;Curvelo;Corinto
Centro;Alto Paraopeba e Inconfidentes;Cristiano Otoni
Centro;Curvelo;Curvelo
Centro;Alto Paraopeba e Inconfidentes;Desterro de Entre Rios
Centro;Alto Paraopeba e Inconfidentes;Diogo de Vasconcelos
Centro;Sete Lagoas;Dom Joaquim
Centro;Alto Paraopeba e Inconfidentes;Entre Rios de Minas
Centro;Das Indústrias;Esmeraldas
Centro;Curvelo;Felixlândia
Centro;Sete Lagoas;Fortuna de Minas
Centro;Sete Lagoas;Funilândia
Centro;Das Indústrias;Ibirité
Centro;Das Indústrias;Igarapé
Centro;Sete Lagoas;Inhaúma
Centro;Curvelo;Inimutaba
Centro;Alto Paraopeba e Inconfidentes;Itabirito
Centro;Sete Lagoas;Itambé do Mato Dentro
Centro;Alto Paraopeba e Inconfidentes;Itaverava
Centro;Sete Lagoas;Jaboticatubas
Centro;Alto Paraopeba e Inconfidentes;Jeceaba
Centro;Sete Lagoas;Jequitibá
Centro;Das Indústrias;Juatuba
Centro;Grande Belo Horizonte;Lagoa Santa
Centro;Sete Lagoas;Maravilhas
Centro;Alto Paraopeba e Inconfidentes;Mariana
Centro;Das Indústrias;Mário Campos
Centro;Das Indústrias;Mateus Leme
Centro;Grande Belo Horizonte;Matozinhos
Centro;Alto Paraopeba e Inconfidentes;Moeda
Centro;Curvelo;Monjolos
Centro;Curvelo;Morro da Garça
Centro;Sete Lagoas;Morro do Pilar
Centro;Grande Belo Horizonte;Nova Lima
Centro;Alto Paraopeba e Inconfidentes;Ouro Branco
Centro;Alto Paraopeba e Inconfidentes;Ouro Preto
Centro;Sete Lagoas;Papagaios
Centro;Sete Lagoas;Paraopeba
Centro;Grande Belo Horizonte;Pedro Leopoldo
Centro;Sete Lagoas;Pequi
Centro;Curvelo;Pompéu
Centro;Curvelo;Presidente Juscelino
Centro;Sete Lagoas;Prudente de Morais
Centro;Alto Paraopeba e Inconfidentes;Queluzito
Centro;Grande Belo Horizonte;Raposos
Centro;Grande Belo Horizonte;Ribeirão das Neves
Centro;Grande Belo Horizonte;Rio Acima
Centro;Grande Belo Horizonte;Sabará
Centro;Grande Belo Horizonte;Santa Luzia
Centro;Sete Lagoas;Santana de Pirapama
Centro;Sete Lagoas;Santana do Riacho
Centro;Alto Paraopeba e Inconfidentes;Santana dos Montes
Centro;Curvelo;Santo Hipólito
Centro;Alto Paraopeba e Inconfidentes;São Brás do Suaçuí
Centro;Das Indústrias;São Joaquim de Bicas
Centro;Grande Belo Horizonte;São José da Lapa
Centro;Das Indústrias;Sarzedo
Centro;Sete Lagoas;Sete Lagoas
Centro;Grande Belo Horizonte;Vespasiano
Centro-Oeste e Sudoeste;Passos;Alpinópolis
Centro-Oeste e Sudoeste;Nova Serrana;Araújos
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Arceburgo
Centro-Oeste e Sudoeste;Formiga;Arcos
Centro-Oeste e Sudoeste;Formiga;Bambuí
Centro-Oeste e Sudoeste;Nova Serrana;Bom Despacho
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Bom Jesus da Penha
Centro-Oeste e Sudoeste;Itaúna;Bonfim
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Cabo Verde
Centro-Oeste e Sudoeste;Formiga;Camacho
Centro-Oeste e Sudoeste;Formiga;Candeias
Centro-Oeste e Sudoeste;Passos;Capetinga
Centro-Oeste e Sudoeste;Passos;Capitólio
Centro-Oeste e Sudoeste;Divinópolis;Carmo da Mata
Centro-Oeste e Sudoeste;Divinópolis;Carmo do Cajuru
Centro-Oeste e Sudoeste;Passos;Carmo do Rio Claro
Centro-Oeste e Sudoeste;Itaúna;Carmópolis de Minas
Centro-Oeste e Sudoeste;Passos;Cássia
Centro-Oeste e Sudoeste;Passos;Claraval
Centro-Oeste e Sudoeste;Divinópolis;Cláudio
Centro-Oeste e Sudoeste;Nova Serrana;Conceição do Pará
Centro-Oeste e Sudoeste;Formiga;Córrego Danta
Centro-Oeste e Sudoeste;Formiga;Córrego Fundo
Centro-Oeste e Sudoeste;Formiga;Cristais
Centro-Oeste e Sudoeste;Itaúna;Crucilândia
Centro-Oeste e Sudoeste;Passos;Delfinópolis
Centro-Oeste e Sudoeste;Divinópolis;Divinópolis
Centro-Oeste e Sudoeste;Nova Serrana;Dores do Indaiá
Centro-Oeste e Sudoeste;Passos;Doresópolis
Centro-Oeste e Sudoeste;Nova Serrana;Estrela do Indaiá
Centro-Oeste e Sudoeste;Itaúna;Florestal
Centro-Oeste e Sudoeste;Formiga;Formiga
Centro-Oeste e Sudoeste;Passos;Fortaleza de Minas
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Guaranésia
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Guaxupé
Centro-Oeste e Sudoeste;Passos;Ibiraci
Centro-Oeste e Sudoeste;Itaúna;Igaratinga
Centro-Oeste e Sudoeste;Formiga;Iguatama
Centro-Oeste e Sudoeste;Itaúna;Itaguara
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Itamogi
Centro-Oeste e Sudoeste;Formiga;Itapecerica
Centro-Oeste e Sudoeste;Itaúna;Itatiaiuçu
Centro-Oeste e Sudoeste;Passos;Itaú de Minas
Centro-Oeste e Sudoeste;Itaúna;Itaúna
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Jacuí
Centro-Oeste e Sudoeste;Nova Serrana;Japaraíba
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Juruaia
Centro-Oeste e Sudoeste;Nova Serrana;Lagoa da Prata
Centro-Oeste e Sudoeste;Nova Serrana;Leandro Ferreira
Centro-Oeste e Sudoeste;Nova Serrana;Luz
Centro-Oeste e Sudoeste;Nova Serrana;Martinho Campos
Centro-Oeste e Sudoeste;Passos;Medeiros
Centro-Oeste e Sudoeste;Nova Serrana;Moema
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Monte Santo de Minas
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Muzambinho
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;Nova Resende
Centro-Oeste e Sudoeste;Nova Serrana;Nova Serrana
Centro-Oeste e Sudoeste;Divinópolis;Oliveira
Centro-Oeste e Sudoeste;Itaúna;Onça de Pitangui
Centro-Oeste e Sudoeste;Formiga;Pains
Centro-Oeste e Sudoeste;Itaúna;Pará de Minas
Centro-Oeste e Sudoeste;Itaúna;Passa Tempo
Centro-Oeste e Sudoeste;Passos;Passos
Centro-Oeste e Sudoeste;Formiga;Pedra do Indaiá
Centro-Oeste e Sudoeste;Nova Serrana;Perdigão
Centro-Oeste e Sudoeste;Itaúna;Piedade dos Gerais
Centro-Oeste e Sudoeste;Formiga;Pimenta
Centro-Oeste e Sudoeste;Itaúna;Piracema
Centro-Oeste e Sudoeste;Itaúna;Pitangui
Centro-Oeste e Sudoeste;Passos;Piumhi
Centro-Oeste e Sudoeste;Passos;Pratápolis
Centro-Oeste e Sudoeste;Nova Serrana;Quartel Geral
Centro-Oeste e Sudoeste;Itaúna;Rio Manso
Centro-Oeste e Sudoeste;Nova Serrana;Santo Antônio do Monte
Centro-Oeste e Sudoeste;Divinópolis;São Francisco de Paula
Centro-Oeste e Sudoeste;Divinópolis;São Gonçalo do Pará
Centro-Oeste e Sudoeste;Passos;São João Batista do Glória
Centro-Oeste e Sudoeste;Passos;São José da Barra
Centro-Oeste e Sudoeste;Itaúna;São José da Varginha
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;São Pedro da União
Centro-Oeste e Sudoeste;Passos;São Roque de Minas
Centro-Oeste e Sudoeste;Divinópolis;São Sebastião do Oeste
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;São Sebastião do Paraíso
Centro-Oeste e Sudoeste;São Sebastião do Paraíso;São Tomás de Aquino
Centro-Oeste e Sudoeste;Nova Serrana;Serra da Saudade
Centro-Oeste e Sudoeste;Formiga;Tapiraí
Centro-Oeste e Sudoeste;Passos;Vargem Bonita
Jequitinhonha e Mucuri;Chapada de Minas;Água Boa
Jequitinhonha e Mucuri;Nanuque;Águas Formosas
Jequitinhonha e Mucuri;Almenara;Almenara
Jequitinhonha e Mucuri;Diamantina;Alvorada de Minas
Jequitinhonha e Mucuri;Chapada de Minas;Angelândia
Jequitinhonha e Mucuri;Araçuaí;Araçuaí
Jequitinhonha e Mucuri;Chapada de Minas;Aricanduva
Jequitinhonha e Mucuri;Teófilo Otoni;Ataléia
Jequitinhonha e Mucuri;Almenara;Bandeira
Jequitinhonha e Mucuri;Araçuaí;Berilo
Jequitinhonha e Mucuri;Nanuque;Bertópolis
Jequitinhonha e Mucuri;Araçuaí;Cachoeira de Pajeú
Jequitinhonha e Mucuri;Chapada de Minas;Capelinha
Jequitinhonha e Mucuri;Teófilo Otoni;Caraí
Jequitinhonha e Mucuri;Chapada de Minas;Carbonita
Jequitinhonha e Mucuri;Nanuque;Carlos Chagas
Jequitinhonha e Mucuri;Teófilo Otoni;Catuji
Jequitinhonha e Mucuri;Chapada de Minas;Chapada do Norte
Jequitinhonha e Mucuri;Araçuaí;Comercinho
Jequitinhonha e Mucuri;Araçuaí;Coronel Murta
Jequitinhonha e Mucuri;Diamantina;Couto de Magalhães de Minas
Jequitinhonha e Mucuri;Nanuque;Crisólita
Jequitinhonha e Mucuri;Diamantina;Datas
Jequitinhonha e Mucuri;Diamantina;Diamantina
Jequitinhonha e Mucuri;Almenara;Divisópolis
Jequitinhonha e Mucuri;Diamantina;Felício dos Santos
Jequitinhonha e Mucuri;Almenara;Felisburgo
Jequitinhonha e Mucuri;Araçuaí;Francisco Badaró
Jequitinhonha e Mucuri;Teófilo Otoni;Franciscópolis
Jequitinhonha e Mucuri;Teófilo Otoni;Frei Gaspar
Jequitinhonha e Mucuri;Nanuque;Fronteira dos Vales
Jequitinhonha e Mucuri;Diamantina;Gouveia
Jequitinhonha e Mucuri;Teófilo Otoni;Itaipé
Jequitinhonha e Mucuri;Chapada de Minas;Itamarandiba
Jequitinhonha e Mucuri;Teófilo Otoni;Itambacuri
Jequitinhonha e Mucuri;Araçuaí;Itaobim
Jequitinhonha e Mucuri;Araçuaí;Itinga
Jequitinhonha e Mucuri;Almenara;Jacinto
Jequitinhonha e Mucuri;Araçuaí;Jenipapo de Minas
Jequitinhonha e Mucuri;Almenara;Jequitinhonha
Jequitinhonha e Mucuri;Almenara;Joaíma
Jequitinhonha e Mucuri;Almenara;Jordânia
Jequitinhonha e Mucuri;Chapada de Minas;José Gonçalves de Minas
Jequitinhonha e Mucuri;Teófilo Otoni;Ladainha
Jequitinhonha e Mucuri;Chapada de Minas;Leme do Prado
Jequitinhonha e Mucuri;Nanuque;Machacalis
Jequitinhonha e Mucuri;Teófilo Otoni;Malacacheta
Jequitinhonha e Mucuri;Almenara;Mata Verde
Jequitinhonha e Mucuri;Araçuaí;Medina
Jequitinhonha e Mucuri;Chapada de Minas;Minas Novas
Jequitinhonha e Mucuri;Araçuaí;Monte Formoso
Jequitinhonha e Mucuri;Nanuque;Nanuque
Jequitinhonha e Mucuri;Teófilo Otoni;Novo Cruzeiro
Jequitinhonha e Mucuri;Teófilo Otoni;Novo Oriente de Minas
Jequitinhonha e Mucuri;Teófilo Otoni;Ouro Verde de Minas
Jequitinhonha e Mucuri;Teófilo Otoni;Padre Paraíso
Jequitinhonha e Mucuri;Almenara;Palmópolis
Jequitinhonha e Mucuri;Nanuque;Pavão
Jequitinhonha e Mucuri;Araçuaí;Pedra Azul
Jequitinhonha e Mucuri;Araçuaí;Ponto dos Volantes
Jequitinhonha e Mucuri;Teófilo Otoni;Poté
Jequitinhonha e Mucuri;Diamantina;Presidente Kubitschek
Jequitinhonha e Mucuri;Almenara;Rio do Prado
Jequitinhonha e Mucuri;Diamantina;Rio Vermelho
Jequitinhonha e Mucuri;Almenara;Rubim
Jequitinhonha e Mucuri;Almenara;Salto da Divisa
Jequitinhonha e Mucuri;Nanuque;Santa Helena de Minas
Jequitinhonha e Mucuri;Almenara;Santa Maria do Salto
Jequitinhonha e Mucuri;Diamantina;Santo Antônio do Itambé
